event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
8338016133,true,2018-12-15 22:00:00.000,21.398556,38.438206,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",534782.971316955,4254511.9133272795,"34N","Eastern European Time",2018-12-16 00:00:00.000
8338016134,true,2018-12-16 22:00:00.000,21.399054,38.440945,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",534825.1171867248,4254816.023646884,"34N","Eastern European Time",2018-12-17 00:00:00.000
8338016135,true,2018-12-17 22:00:00.000,21.398121,38.441196,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",534743.5744182665,4254843.5227122065,"34N","Eastern European Time",2018-12-18 00:00:00.000
8338016136,true,2018-12-18 22:00:00.000,21.389469,38.439838,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",533989.1581654242,4254689.611236128,"34N","Eastern European Time",2018-12-19 00:00:00.000
8338016137,true,2018-12-19 22:00:00.000,21.381237,38.502075,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",533242.1575957658,4261592.522279398,"34N","Eastern European Time",2018-12-20 00:00:00.000
8338016138,true,2018-12-20 22:00:00.000,21.534081,38.44294,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",546607.5988478343,4255097.050421497,"34N","Eastern European Time",2018-12-21 00:00:00.000
8338016139,true,2018-12-21 22:00:00.000,21.569729,38.38398,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",549758.9339445462,4248573.410942913,"34N","Eastern European Time",2018-12-22 00:00:00.000
8338016140,true,2018-12-22 22:00:00.000,21.782337,38.39444,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",568318.0584875982,4249870.120920147,"34N","Eastern European Time",2018-12-23 00:00:00.000
8370487059,true,2018-12-25 22:00:00.000,21.754608,38.429722,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",565864.5358302619,4253764.91359681,"34N","Eastern European Time",2018-12-26 00:00:00.000
8370487060,true,2018-12-26 22:00:00.000,21.655651,37.623047,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",557858.1343081287,4164194.738470801,"34N","Eastern European Time",2018-12-27 00:00:00.000
8370487061,true,2018-12-27 22:00:00.000,21.635496,37.627254,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",556076.3701127919,4164649.257125771,"34N","Eastern European Time",2018-12-28 00:00:00.000
8370487062,true,2018-12-28 22:00:00.000,21.62915,37.625938,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",555517.3700743514,4164499.478030586,"34N","Eastern European Time",2018-12-29 00:00:00.000
8370487063,true,2018-12-29 22:00:00.000,21.814631,37.083344,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",572404.1466776566,4104428.4327691286,"34N","Eastern European Time",2018-12-30 00:00:00.000
8370487064,true,2018-12-30 22:00:00.000,21.822046,36.961166,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",573180.3025241425,4090880.068061023,"34N","Eastern European Time",2018-12-31 00:00:00.000
8370487065,true,2018-12-31 22:00:00.000,21.745174,36.938637,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",566356.4185078123,4088324.5352828717,"34N","Eastern European Time",2019-01-01 00:00:00.000
8370487066,true,2019-01-01 22:00:00.000,21.701,36.844093,"gps","Gyps fulvus","Nikoleta-16","","Griffon vulture [fdlmes.gr]",562499.7796143629,4077806.5973318694,"34N","Eastern European Time",2019-01-02 00:00:00.000
